"time_s","joint_state","observability","p1_movement_intensity","p1_active_persistence","p1_spatial_range","p1_initiative_rate","p1_response_availability","p1_linked_participation","p2_movement_intensity","p2_active_persistence","p2_spatial_range","p2_initiative_rate","p2_response_availability","p2_linked_participation","activation_match","response_reciprocity","mutual_activity","distance_from_start","distance_trend","effective_opportunity","target_matched_exposure","response_conversion","support_cost","joint_trainability","mutual_workable_zone","reciprocity","co_regulation","role_fluidity","tempo_coordination","relation_drift","morphology_overlap_proxy","stage_key","session_id","stage_id","participant_1","participant_2","state_id","posterior_confidence","posterior_entropy","p1_to_p2_predictive_support_live","p2_to_p1_predictive_support_live","directional_support_symmetry_live","mutual_comfort_state","distance_to_dual_mic_anchor_s","dual_mic_anchor_support_500ms"
"0.0","1.0","1.0","0.3994","0.0","0.0","","","","0.4329","1.0","0.0","","","0.0","0.0","","0.0","0.3694","","0.0","","","0.2165","0.0","0.0","","","","0.0","0.1066","0.0","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","low_engagement_reset","1.0","0.0","","","","0.06","16.9","0.0"
"1.001","11.0","1.0","0.4479","0.5","0.0398","1.0","","1.0","0.4426","1.0","0.0091","0.0","","0.5","0.5","","0.5","0.2668","","0.5","","","0.1457","0.5","0.6536","","","","0.5","0.077","0.625","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","high_load_misalignment","0.9992","0.0032","","","","0.47225599999999995","15.899","0.0"
"2.002","10.0","1.0","0.4581","0.6667","0.111","1.0","","0.5","0.396","0.6667","0.0208","0.0","","0.5","1.0","","0.3333","0.1569","","0.3333","","","0.1849","0.6666","0.7372","","","0.0","0.6666","0.0453","0.5833","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","mixed_transition_2","1.0","0.0002","","","","0.7143200000000001","14.898","0.0"
"3.003","11.0","1.0","0.4349","0.75","0.1655","1.0","","0.6667","0.4141","0.75","0.0419","1.0","1.0","0.6667","1.0","","0.5","0.1533","","0.5","","1.0","0.1761","0.8333","0.8286","","","0.0","0.75","0.0443","0.7084","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","mutual_flow","0.9999","0.0007","","","","0.8651432000000001","13.896999999999998","0.0"
"4.004","11.0","1.0","0.461","0.8","0.1932","0.875","","0.75","0.4225","0.8","0.0419","0.8333","1.0","0.75","1.0","","0.6","0.1506","","0.6","","1.0","0.1748","0.8667","0.8457","","0.3049","0.0","0.635","0.0435","0.775","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","mutual_flow","0.8418","0.2571","","","","0.8488424","12.895999999999999","0.0"
"5.005","11.0","1.0","0.5542","0.8333","0.1932","0.7","0.0","0.8","0.4396","0.8333","0.0825","0.6667","1.0","0.8","1.0","0.0","0.6667","0.1286","-0.1982","0.6667","","0.5","0.1904","0.5417","0.6622","0.0","0.6109","0.0","0.7592","0.0371","0.6533","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p2_activation_lead","0.995","0.017","","","","0.5734400000000001","11.895","0.0"
"6.006","11.0","1.0","0.5554","0.8571","0.5042","0.5833","0.0","0.8333","0.789","0.8571","0.1288","0.5556","1.0","0.8333","1.0","0.0","0.7143","0.1399","-0.1723","0.7143","","0.5","0.2884","0.5536","0.6276","0.0","0.9371","0.0","0.8838","0.0404","0.6762","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p2_activation_lead","0.9188","0.1448","","","","0.5545088","10.893999999999998","0.0"
"7.007","","1.0","0.5388","0.875","0.5379","0.5","0.0","0.7143","0.789","0.8571","0.1288","0.5556","1.0","0.8333","0.9821","0.0","0.625","0.1327","-0.1234","0.625","","0.5","0.3069","0.5268","0.6042","0.0","0.9614","0.0","0.8562","0.0383","0.6309","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p2_activation_lead","0.9985","0.0059","","","","0.5385559999999999","9.892999999999999","0.0"
"8.008","","0.8889","0.5418","0.8889","0.5615","0.4375","0.0","0.625","0.789","0.8571","0.1288","0.5556","1.0","0.8333","0.9683","0.0","0.625","0.1327","-0.0997","0.5556","","0.5","0.3235","0.4652","0.561","0.0","0.966","1.0","0.8531","0.0383","0.6103","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p2_activation_lead","0.9997","0.0014","","","","0.5126072","8.892","0.0"
"9.009","","0.9","0.5168","0.8","0.5877","0.3889","0.0","0.625","0.789","0.8571","0.1288","0.5556","1.0","0.8333","0.9429","0.0","0.5556","0.1237","-0.0879","0.5","","0.5","0.3237","0.4497","0.5515","0.0","0.9697","1.0","0.8227","0.0357","0.5914","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p2_activation_lead","0.9999","0.0004","","","","0.5069024","7.890999999999998","0.0"
